Year,State,Metric,Age Range,"Events per 1,000 women"
2006,CO,Abortion Rate,15-17,9
2007,CO,Abortion Rate,15-17,9.9000000000000004
2008,CO,Abortion Rate,15-17,9.0999999999999996
2009,CO,Abortion Rate,15-17,7.5
2010,CO,Abortion Rate,15-17,7.5
2011,CO,Abortion Rate,15-17,6.2000000000000002
2012,CO,Abortion Rate,15-17,5.2999999999999998
2013,CO,Abortion Rate,15-17,4.2000000000000002
2014,CO,Abortion Rate,15-17,3.7999999999999998
2015,CO,Abortion Rate,15-17,3.6000000000000001
2016,CO,Abortion Rate,15-17,2.8999999999999999
1988,CT,Abortion Rate,15-17,42.399999999999999
1992,CT,Abortion Rate,15-17,32.899999999999999
1996,CT,Abortion Rate,15-17,26.300000000000001
2000,CT,Abortion Rate,15-17,21.300000000000001
2005,CT,Abortion Rate,15-17,17.699999999999999
2006,CT,Abortion Rate,15-17,17.800000000000001
2007,CT,Abortion Rate,15-17,17.800000000000001
2008,CT,Abortion Rate,15-17,16.300000000000001
2009,CT,Abortion Rate,15-17,14
2010,CT,Abortion Rate,15-17,12.199999999999999
2011,CT,Abortion Rate,15-17,10.300000000000001
2012,CT,Abortion Rate,15-17,8.4000000000000004
2013,CT,Abortion Rate,15-17,7.4000000000000004
2014,CT,Abortion Rate,15-17,7
2015,CT,Abortion Rate,15-17,6.4000000000000004
2016,CT,Abortion Rate,15-17,5.4000000000000004
1988,DE,Abortion Rate,15-17,38.799999999999997
1992,DE,Abortion Rate,15-17,29.899999999999999
1996,DE,Abortion Rate,15-17,15.699999999999999
2000,DE,Abortion Rate,15-17,23.399999999999999
2005,DE,Abortion Rate,15-17,16.699999999999999
2006,DE,Abortion Rate,15-17,19.100000000000001
2007,DE,Abortion Rate,15-17,22.899999999999999
2008,DE,Abortion Rate,15-17,22.899999999999999
2009,DE,Abortion Rate,15-17,17.199999999999999
2010,DE,Abortion Rate,15-17,18.800000000000001
2011,DE,Abortion Rate,15-17,14.199999999999999
2012,DE,Abortion Rate,15-17,10.9
2013,DE,Abortion Rate,15-17,8.8000000000000007
2014,DE,Abortion Rate,15-17,7.7999999999999998
2015,DE,Abortion Rate,15-17,7.4000000000000004
2016,DE,Abortion Rate,15-17,5.7999999999999998
2000,DC,Abortion Rate,15-17,51.899999999999999
2005,DC,Abortion Rate,15-17,56
2006,DC,Abortion Rate,15-17,53.299999999999997
2007,DC,Abortion Rate,15-17,44.100000000000001
2008,DC,Abortion Rate,15-17,54.5
2009,DC,Abortion Rate,15-17,38.899999999999999
2010,DC,Abortion Rate,15-17,33.899999999999999
2011,DC,Abortion Rate,15-17,24.5
2012,DC,Abortion Rate,15-17,17.5
2013,DC,Abortion Rate,15-17,30.899999999999999
2014,DC,Abortion Rate,15-17,22
2015,DC,Abortion Rate,15-17,13.9
2016,DC,Abortion Rate,15-17,10.5
1988,FL,Abortion Rate,15-17,37.899999999999999
1992,FL,Abortion Rate,15-17,28
1996,FL,Abortion Rate,15-17,26.199999999999999
2000,FL,Abortion Rate,15-17,19.600000000000001
2005,FL,Abortion Rate,15-17,14.6
2006,FL,Abortion Rate,15-17,14.300000000000001
2007,FL,Abortion Rate,15-17,14.4
2008,FL,Abortion Rate,15-17,13.6
2009,FL,Abortion Rate,15-17,12.800000000000001
2010,FL,Abortion Rate,15-17,11.5
2011,FL,Abortion Rate,15-17,10.199999999999999
2012,FL,Abortion Rate,15-17,8.8000000000000007
2013,FL,Abortion Rate,15-17,7.5999999999999996
2014,FL,Abortion Rate,15-17,6.7999999999999998
2015,FL,Abortion Rate,15-17,5.9000000000000004
2016,FL,Abortion Rate,15-17,5.2999999999999998
1988,GA,Abortion Rate,15-17,26.899999999999999
1992,GA,Abortion Rate,15-17,22
1996,GA,Abortion Rate,15-17,16.800000000000001
2000,GA,Abortion Rate,15-17,11.1
2005,GA,Abortion Rate,15-17,8.8000000000000007
2006,GA,Abortion Rate,15-17,8
2007,GA,Abortion Rate,15-17,8.8000000000000007
2008,GA,Abortion Rate,15-17,9.5999999999999996
2009,GA,Abortion Rate,15-17,8.6999999999999993
2010,GA,Abortion Rate,15-17,7.7999999999999998
2011,GA,Abortion Rate,15-17,7.0999999999999996
2012,GA,Abortion Rate,15-17,6.2999999999999998
2013,GA,Abortion Rate,15-17,5
2014,GA,Abortion Rate,15-17,4.7000000000000002
2015,GA,Abortion Rate,15-17,4.2000000000000002
2016,GA,Abortion Rate,15-17,3.8999999999999999
1988,HI,Abortion Rate,15-17,43.200000000000003
1992,HI,Abortion Rate,15-17,50
1996,HI,Abortion Rate,15-17,28.5
2000,HI,Abortion Rate,15-17,20.699999999999999
2005,HI,Abortion Rate,15-17,17.699999999999999
2006,HI,Abortion Rate,15-17,19.100000000000001
2007,HI,Abortion Rate,15-17,18.800000000000001
2008,HI,Abortion Rate,15-17,16.399999999999999
2009,HI,Abortion Rate,15-17,13.800000000000001
2010,HI,Abortion Rate,15-17,14.6
2011,HI,Abortion Rate,15-17,13.9
2012,HI,Abortion Rate,15-17,9.6999999999999993
2013,HI,Abortion Rate,15-17,6.2000000000000002
2014,HI,Abortion Rate,15-17,6.2999999999999998
2015,HI,Abortion Rate,15-17,5.4000000000000004
2016,HI,Abortion Rate,15-17,5.0999999999999996
1988,ID,Abortion Rate,15-17,10.1
1992,ID,Abortion Rate,15-17,7.4000000000000004
1996,ID,Abortion Rate,15-17,7.5
2000,ID,Abortion Rate,15-17,5.7000000000000002
2005,ID,Abortion Rate,15-17,5.0999999999999996
2006,ID,Abortion Rate,15-17,7.2999999999999998
2007,ID,Abortion Rate,15-17,5.7999999999999998
2008,ID,Abortion Rate,15-17,4.0999999999999996
2009,ID,Abortion Rate,15-17,3.7999999999999998
2010,ID,Abortion Rate,15-17,3.6000000000000001
2011,ID,Abortion Rate,15-17,2.6000000000000001
2012,ID,Abortion Rate,15-17,2.8999999999999999
2013,ID,Abortion Rate,15-17,1.8
2014,ID,Abortion Rate,15-17,1.5
2015,ID,Abortion Rate,15-17,1.8999999999999999
2016,ID,Abortion Rate,15-17,1.5
1988,IL,Abortion Rate,15-17,25.600000000000001
1992,IL,Abortion Rate,15-17,18.300000000000001
1996,IL,Abortion Rate,15-17,24.399999999999999
2000,IL,Abortion Rate,15-17,18.899999999999999
2005,IL,Abortion Rate,15-17,13.1
2006,IL,Abortion Rate,15-17,12.6
2007,IL,Abortion Rate,15-17,12.800000000000001
2008,IL,Abortion Rate,15-17,13.4
2009,IL,Abortion Rate,15-17,11.5
2010,IL,Abortion Rate,15-17,10.199999999999999
2011,IL,Abortion Rate,15-17,9.1999999999999993
2012,IL,Abortion Rate,15-17,8.0999999999999996
2013,IL,Abortion Rate,15-17,7
2014,IL,Abortion Rate,15-17,5.5
2015,IL,Abortion Rate,15-17,5.0999999999999996
2016,IL,Abortion Rate,15-17,4.5999999999999996
1988,IN,Abortion Rate,15-17,14.800000000000001
1992,IN,Abortion Rate,15-17,12.6
1996,IN,Abortion Rate,15-17,10.9
2000,IN,Abortion Rate,15-17,7.0999999999999996
2005,IN,Abortion Rate,15-17,5.0999999999999996
2006,IN,Abortion Rate,15-17,4.7999999999999998
2007,IN,Abortion Rate,15-17,4.7999999999999998
2008,IN,Abortion Rate,15-17,4.7000000000000002
2009,IN,Abortion Rate,15-17,4.7999999999999998
2010,IN,Abortion Rate,15-17,3.8999999999999999
2011,IN,Abortion Rate,15-17,3
2012,IN,Abortion Rate,15-17,2.7999999999999998
2013,IN,Abortion Rate,15-17,2.7999999999999998
2014,IN,Abortion Rate,15-17,2.5
2015,IN,Abortion Rate,15-17,2.1000000000000001
2016,IN,Abortion Rate,15-17,2
1988,IA,Abortion Rate,15-17,18.199999999999999
1992,IA,Abortion Rate,15-17,10.199999999999999
1996,IA,Abortion Rate,15-17,7.7000000000000002
2000,IA,Abortion Rate,15-17,7.4000000000000004
2005,IA,Abortion Rate,15-17,6.0999999999999996
2006,IA,Abortion Rate,15-17,6.5
2007,IA,Abortion Rate,15-17,6.9000000000000004
2008,IA,Abortion Rate,15-17,6
2009,IA,Abortion Rate,15-17,5.7999999999999998
2010,IA,Abortion Rate,15-17,5.2999999999999998
2011,IA,Abortion Rate,15-17,4.2000000000000002
2012,IA,Abortion Rate,15-17,3.7000000000000002
2013,IA,Abortion Rate,15-17,2.7000000000000002
2014,IA,Abortion Rate,15-17,2.7000000000000002
2015,IA,Abortion Rate,15-17,2.7000000000000002
2016,IA,Abortion Rate,15-17,2.2000000000000002
1988,KS,Abortion Rate,15-17,21.699999999999999
1992,KS,Abortion Rate,15-17,16
1996,KS,Abortion Rate,15-17,12.1
2000,KS,Abortion Rate,15-17,7.5999999999999996
2005,KS,Abortion Rate,15-17,5.7000000000000002
2006,KS,Abortion Rate,15-17,5.7999999999999998
2007,KS,Abortion Rate,15-17,5.4000000000000004
2008,KS,Abortion Rate,15-17,5.2999999999999998
2009,KS,Abortion Rate,15-17,4.2999999999999998
2010,KS,Abortion Rate,15-17,2.8999999999999999
2011,KS,Abortion Rate,15-17,2.6000000000000001
2012,KS,Abortion Rate,15-17,2.5
2013,KS,Abortion Rate,15-17,2.2000000000000002
2014,KS,Abortion Rate,15-17,1.8
2015,KS,Abortion Rate,15-17,1.6000000000000001
2016,KS,Abortion Rate,15-17,1.6000000000000001
1988,KY,Abortion Rate,15-17,17.300000000000001
1992,KY,Abortion Rate,15-17,15.1
1996,KY,Abortion Rate,15-17,7.7000000000000002
2000,KY,Abortion Rate,15-17,4.7999999999999998
2005,KY,Abortion Rate,15-17,4.2000000000000002
2006,KY,Abortion Rate,15-17,4.2000000000000002
2007,KY,Abortion Rate,15-17,4.7000000000000002
2008,KY,Abortion Rate,15-17,4.2000000000000002
2009,KY,Abortion Rate,15-17,4.7000000000000002
2010,KY,Abortion Rate,15-17,3.8999999999999999
2011,KY,Abortion Rate,15-17,3.7000000000000002
2012,KY,Abortion Rate,15-17,2.7999999999999998
2013,KY,Abortion Rate,15-17,2.3999999999999999
2014,KY,Abortion Rate,15-17,2.6000000000000001
2015,KY,Abortion Rate,15-17,1.8999999999999999
2016,KY,Abortion Rate,15-17,1.7
1988,LA,Abortion Rate,15-17,13.800000000000001
1992,LA,Abortion Rate,15-17,9.1999999999999993
1996,LA,Abortion Rate,15-17,10
2000,LA,Abortion Rate,15-17,6.5999999999999996
2005,LA,Abortion Rate,15-17,5.0999999999999996
2006,LA,Abortion Rate,15-17,6.2999999999999998
2007,LA,Abortion Rate,15-17,7.0999999999999996
2008,LA,Abortion Rate,15-17,7.7999999999999998
2009,LA,Abortion Rate,15-17,7.2000000000000002
2010,LA,Abortion Rate,15-17,6.9000000000000004
2011,LA,Abortion Rate,15-17,5.7999999999999998
2012,LA,Abortion Rate,15-17,4.7000000000000002
2013,LA,Abortion Rate,15-17,3.8999999999999999
2014,LA,Abortion Rate,15-17,3.2999999999999998
2015,LA,Abortion Rate,15-17,3.2999999999999998
2016,LA,Abortion Rate,15-17,3.7999999999999998
1988,ME,Abortion Rate,15-17,24.5
1992,ME,Abortion Rate,15-17,14.1
1996,ME,Abortion Rate,15-17,12.199999999999999
2000,ME,Abortion Rate,15-17,9.1999999999999993
2005,ME,Abortion Rate,15-17,7.5
2006,ME,Abortion Rate,15-17,7.2000000000000002
2007,ME,Abortion Rate,15-17,7.4000000000000004
2008,ME,Abortion Rate,15-17,6.7999999999999998
2009,ME,Abortion Rate,15-17,6
2010,ME,Abortion Rate,15-17,4.5
2011,ME,Abortion Rate,15-17,4.4000000000000004
2012,ME,Abortion Rate,15-17,4.5
2013,ME,Abortion Rate,15-17,4.7000000000000002
2014,ME,Abortion Rate,15-17,4.0999999999999996
2015,ME,Abortion Rate,15-17,3.5
2016,ME,Abortion Rate,15-17,3.1000000000000001
1988,MD,Abortion Rate,15-17,42.700000000000003
1992,MD,Abortion Rate,15-17,36.600000000000001
1996,MD,Abortion Rate,15-17,30
2000,MD,Abortion Rate,15-17,22.800000000000001
2005,MD,Abortion Rate,15-17,13.1
2006,MD,Abortion Rate,15-17,12.199999999999999
2007,MD,Abortion Rate,15-17,12.1
2008,MD,Abortion Rate,15-17,12.199999999999999
2009,MD,Abortion Rate,15-17,12.199999999999999
2010,MD,Abortion Rate,15-17,11.9
2011,MD,Abortion Rate,15-17,12.6
2012,MD,Abortion Rate,15-17,9.6999999999999993
2013,MD,Abortion Rate,15-17,9.8000000000000007
2014,MD,Abortion Rate,15-17,8
2015,MD,Abortion Rate,15-17,6.9000000000000004
2016,MD,Abortion Rate,15-17,6.2000000000000002
1988,MA,Abortion Rate,15-17,34.5
1992,MA,Abortion Rate,15-17,21.300000000000001
1996,MA,Abortion Rate,15-17,21.5
2000,MA,Abortion Rate,15-17,14.1
2005,MA,Abortion Rate,15-17,11.199999999999999
2006,MA,Abortion Rate,15-17,11
2007,MA,Abortion Rate,15-17,10.4
2008,MA,Abortion Rate,15-17,8.8000000000000007
2009,MA,Abortion Rate,15-17,8.6999999999999993
2010,MA,Abortion Rate,15-17,7.2000000000000002
2011,MA,Abortion Rate,15-17,7.0999999999999996
2012,MA,Abortion Rate,15-17,6
2013,MA,Abortion Rate,15-17,4.5
2014,MA,Abortion Rate,15-17,4.2999999999999998
2015,MA,Abortion Rate,15-17,3.7000000000000002
2016,MA,Abortion Rate,15-17,3.1000000000000001
1988,MI,Abortion Rate,15-17,34.5
1992,MI,Abortion Rate,15-17,23
1996,MI,Abortion Rate,15-17,18.399999999999999
2000,MI,Abortion Rate,15-17,14.4
2005,MI,Abortion Rate,15-17,11.199999999999999
2006,MI,Abortion Rate,15-17,10.5
2007,MI,Abortion Rate,15-17,9.9000000000000004
2008,MI,Abortion Rate,15-17,10.4
2009,MI,Abortion Rate,15-17,9.5
2010,MI,Abortion Rate,15-17,8.1999999999999993
2011,MI,Abortion Rate,15-17,6.5999999999999996
2012,MI,Abortion Rate,15-17,5.7999999999999998
2013,MI,Abortion Rate,15-17,4.9000000000000004
2014,MI,Abortion Rate,15-17,4.4000000000000004
2015,MI,Abortion Rate,15-17,3.7999999999999998
2016,MI,Abortion Rate,15-17,3.7999999999999998
1988,MN,Abortion Rate,15-17,19
1992,MN,Abortion Rate,15-17,10.800000000000001
1996,MN,Abortion Rate,15-17,9.6999999999999993
2000,MN,Abortion Rate,15-17,6.5999999999999996
2005,MN,Abortion Rate,15-17,5.5999999999999996
2006,MN,Abortion Rate,15-17,6.0999999999999996
2007,MN,Abortion Rate,15-17,5.7999999999999998
2008,MN,Abortion Rate,15-17,5.2000000000000002
2009,MN,Abortion Rate,15-17,4.7000000000000002
2010,MN,Abortion Rate,15-17,3.8999999999999999
2011,MN,Abortion Rate,15-17,3.7999999999999998
2012,MN,Abortion Rate,15-17,3.2999999999999998
2013,MN,Abortion Rate,15-17,2.5
2014,MN,Abortion Rate,15-17,2.3999999999999999
2015,MN,Abortion Rate,15-17,2.1000000000000001
2016,MN,Abortion Rate,15-17,2.3999999999999999
1988,MS,Abortion Rate,15-17,12.699999999999999
1992,MS,Abortion Rate,15-17,13.9
1996,MS,Abortion Rate,15-17,8.8000000000000007
2000,MS,Abortion Rate,15-17,9.0999999999999996
2005,MS,Abortion Rate,15-17,5.5
2006,MS,Abortion Rate,15-17,5.7000000000000002
2007,MS,Abortion Rate,15-17,6.2000000000000002
2008,MS,Abortion Rate,15-17,6.2999999999999998
2009,MS,Abortion Rate,15-17,4.5999999999999996
2010,MS,Abortion Rate,15-17,5.0999999999999996
2011,MS,Abortion Rate,15-17,3.8999999999999999
2012,MS,Abortion Rate,15-17,4
2013,MS,Abortion Rate,15-17,4
2014,MS,Abortion Rate,15-17,3
2015,MS,Abortion Rate,15-17,2.7999999999999998
2016,MS,Abortion Rate,15-17,2.6000000000000001
1988,MO,Abortion Rate,15-17,17.800000000000001
1992,MO,Abortion Rate,15-17,13.1
1996,MO,Abortion Rate,15-17,9.6999999999999993
2000,MO,Abortion Rate,15-17,6.7000000000000002
2005,MO,Abortion Rate,15-17,5.5999999999999996
2006,MO,Abortion Rate,15-17,6.2999999999999998
2007,MO,Abortion Rate,15-17,6.5
2008,MO,Abortion Rate,15-17,5.9000000000000004
2009,MO,Abortion Rate,15-17,5.2999999999999998
2010,MO,Abortion Rate,15-17,4.4000000000000004
2011,MO,Abortion Rate,15-17,4.2999999999999998
2012,MO,Abortion Rate,15-17,3.8999999999999999
2013,MO,Abortion Rate,15-17,2.8999999999999999
2014,MO,Abortion Rate,15-17,2.2999999999999998
2015,MO,Abortion Rate,15-17,2.2000000000000002
2016,MO,Abortion Rate,15-17,2.3999999999999999
1988,MT,Abortion Rate,15-17,18.399999999999999
1992,MT,Abortion Rate,15-17,17
1996,MT,Abortion Rate,15-17,11.6
2000,MT,Abortion Rate,15-17,9.3000000000000007
2005,MT,Abortion Rate,15-17,9.1999999999999993
2006,MT,Abortion Rate,15-17,6.9000000000000004
2007,MT,Abortion Rate,15-17,6.7999999999999998
2008,MT,Abortion Rate,15-17,6.7999999999999998
2009,MT,Abortion Rate,15-17,6.5999999999999996
2010,MT,Abortion Rate,15-17,5.2999999999999998
2011,MT,Abortion Rate,15-17,5.5999999999999996
2012,MT,Abortion Rate,15-17,4.7000000000000002
2013,MT,Abortion Rate,15-17,3.7000000000000002
2014,MT,Abortion Rate,15-17,3.5
2015,MT,Abortion Rate,15-17,3.7999999999999998
2016,MT,Abortion Rate,15-17,3.2999999999999998
1988,NE,Abortion Rate,15-17,19.199999999999999
1992,NE,Abortion Rate,15-17,11
1996,NE,Abortion Rate,15-17,8.1999999999999993
2000,NE,Abortion Rate,15-17,7.7999999999999998
2005,NE,Abortion Rate,15-17,4.7000000000000002
2006,NE,Abortion Rate,15-17,3.6000000000000001
2007,NE,Abortion Rate,15-17,3.6000000000000001
2008,NE,Abortion Rate,15-17,3.7999999999999998
2009,NE,Abortion Rate,15-17,3.8999999999999999
2010,NE,Abortion Rate,15-17,3.3999999999999999
2011,NE,Abortion Rate,15-17,3.8999999999999999
2012,NE,Abortion Rate,15-17,3
2013,NE,Abortion Rate,15-17,2.2000000000000002
2014,NE,Abortion Rate,15-17,1.8
2015,NE,Abortion Rate,15-17,1.8
2016,NE,Abortion Rate,15-17,1.7
1988,NV,Abortion Rate,15-17,36.600000000000001
1992,NV,Abortion Rate,15-17,35.100000000000001
1996,NV,Abortion Rate,15-17,34.600000000000001
2000,NV,Abortion Rate,15-17,23.300000000000001
2005,NV,Abortion Rate,15-17,16.600000000000001
2006,NV,Abortion Rate,15-17,16.600000000000001
2007,NV,Abortion Rate,15-17,14.9
2008,NV,Abortion Rate,15-17,14.6
2009,NV,Abortion Rate,15-17,13
2010,NV,Abortion Rate,15-17,11.199999999999999
2011,NV,Abortion Rate,15-17,9.5
2012,NV,Abortion Rate,15-17,7.7000000000000002
2013,NV,Abortion Rate,15-17,5.7000000000000002
2014,NV,Abortion Rate,15-17,5.5
2015,NV,Abortion Rate,15-17,5.9000000000000004
2016,NV,Abortion Rate,15-17,5
1988,NH,Abortion Rate,15-17,36.600000000000001
1992,NH,Abortion Rate,15-17,12.5
1996,NH,Abortion Rate,15-17,12.800000000000001
2000,NH,Abortion Rate,15-17,9.4000000000000004
2005,NH,Abortion Rate,15-17,6
2006,NH,Abortion Rate,15-17,5.7999999999999998
2007,NH,Abortion Rate,15-17,5.5999999999999996
2008,NH,Abortion Rate,15-17,4.7000000000000002
2009,NH,Abortion Rate,15-17,4.7000000000000002
2010,NH,Abortion Rate,15-17,4
2011,NH,Abortion Rate,15-17,4.7999999999999998
2012,NH,Abortion Rate,15-17,4.2000000000000002
2013,NH,Abortion Rate,15-17,3.7000000000000002
2014,NH,Abortion Rate,15-17,3.5
2015,NH,Abortion Rate,15-17,3.1000000000000001
2016,NH,Abortion Rate,15-17,3
1988,NJ,Abortion Rate,15-17,38.200000000000003
1992,NJ,Abortion Rate,15-17,29.699999999999999
1996,NJ,Abortion Rate,15-17,31.899999999999999
2000,NJ,Abortion Rate,15-17,29.5
2005,NJ,Abortion Rate,15-17,24.399999999999999
2006,NJ,Abortion Rate,15-17,20.699999999999999
2007,NJ,Abortion Rate,15-17,17
2008,NJ,Abortion Rate,15-17,18.699999999999999
2009,NJ,Abortion Rate,15-17,14.300000000000001
2010,NJ,Abortion Rate,15-17,13.800000000000001
2011,NJ,Abortion Rate,15-17,13.5
2012,NJ,Abortion Rate,15-17,9.1999999999999993
2013,NJ,Abortion Rate,15-17,9.0999999999999996
2014,NJ,Abortion Rate,15-17,8
2015,NJ,Abortion Rate,15-17,8.8000000000000007
2016,NJ,Abortion Rate,15-17,9
1988,NM,Abortion Rate,15-17,25.300000000000001
1992,NM,Abortion Rate,15-17,21.100000000000001
1996,NM,Abortion Rate,15-17,16.399999999999999
2000,NM,Abortion Rate,15-17,15
2005,NM,Abortion Rate,15-17,11.699999999999999
2006,NM,Abortion Rate,15-17,12.5
2007,NM,Abortion Rate,15-17,12.5
2008,NM,Abortion Rate,15-17,11.4
2009,NM,Abortion Rate,15-17,10.9
2010,NM,Abortion Rate,15-17,9.5
2011,NM,Abortion Rate,15-17,8.3000000000000007
2012,NM,Abortion Rate,15-17,7.5999999999999996
2013,NM,Abortion Rate,15-17,6
2014,NM,Abortion Rate,15-17,5.2999999999999998
2015,NM,Abortion Rate,15-17,4.7000000000000002
2016,NM,Abortion Rate,15-17,5.2000000000000002
1988,NY,Abortion Rate,15-17,41.600000000000001
1992,NY,Abortion Rate,15-17,41
1996,NY,Abortion Rate,15-17,34.100000000000001
2000,NY,Abortion Rate,15-17,31.399999999999999
2005,NY,Abortion Rate,15-17,27.399999999999999
2006,NY,Abortion Rate,15-17,26.600000000000001
2007,NY,Abortion Rate,15-17,24.800000000000001
2008,NY,Abortion Rate,15-17,24.399999999999999
2009,NY,Abortion Rate,15-17,23
2010,NY,Abortion Rate,15-17,20.699999999999999
2011,NY,Abortion Rate,15-17,18.699999999999999
2012,NY,Abortion Rate,15-17,15.9
2013,NY,Abortion Rate,15-17,12.9
2014,NY,Abortion Rate,15-17,11.800000000000001
2015,NY,Abortion Rate,15-17,10.6
2016,NY,Abortion Rate,15-17,9.5999999999999996
1988,NC,Abortion Rate,15-17,33.799999999999997
1992,NC,Abortion Rate,15-17,23.600000000000001
1996,NC,Abortion Rate,15-17,16.300000000000001
2000,NC,Abortion Rate,15-17,12.800000000000001
2005,NC,Abortion Rate,15-17,8.8000000000000007
2006,NC,Abortion Rate,15-17,8.6999999999999993
2007,NC,Abortion Rate,15-17,8.3000000000000007
2008,NC,Abortion Rate,15-17,7.7999999999999998
2009,NC,Abortion Rate,15-17,7.5999999999999996
2010,NC,Abortion Rate,15-17,6.9000000000000004
2011,NC,Abortion Rate,15-17,5.4000000000000004
2012,NC,Abortion Rate,15-17,5.2000000000000002
2013,NC,Abortion Rate,15-17,4.7000000000000002
2014,NC,Abortion Rate,15-17,4
2015,NC,Abortion Rate,15-17,3.7000000000000002
2016,NC,Abortion Rate,15-17,3
1988,ND,Abortion Rate,15-17,8.3000000000000007
1992,ND,Abortion Rate,15-17,7.0999999999999996
1996,ND,Abortion Rate,15-17,7.5
2000,ND,Abortion Rate,15-17,4.7999999999999998
2005,ND,Abortion Rate,15-17,4.2000000000000002
2006,ND,Abortion Rate,15-17,3
2007,ND,Abortion Rate,15-17,4.5999999999999996
2008,ND,Abortion Rate,15-17,3.7000000000000002
2009,ND,Abortion Rate,15-17,4.5999999999999996
2010,ND,Abortion Rate,15-17,3.8999999999999999
2011,ND,Abortion Rate,15-17,2.6000000000000001
